,event,link,description,when,location,price,target_age,organization
0,Fall Film Club 2025 #5,https://emelin.org/event/fall-film-club-2025-5/,"Be among the first to see highly critically acclaimed curated films that are n... Includes five critically acclaimed curated films, curated by film programmer David Schwartz. Enjoy exclusive post-film interviews, reserved seating, and a members-only e-newsletter. Beer, wine, and snacks are available for purchase, and a complimentary reception is included for Film Club members. Film titles are kept secret until showtime. Please note this is a subscription series; individual film tickets are not available.",2025-11-19,Emelin Theatre For The Performing Arts,$125,adults,Emelin Theater
1,Kat Edmonson,https://emelin.org/event/kat-edmonson/,"Jazz-pop vocalist Kat Edmonson performs live with acoustic guitar and cello in an intimate performance. As described by The New York Times, she is “A savvy student of ’60s film soundtracks, jazz-pop stylings, and Brill Building songcraft.” With a style that blends vintage pop, cabaret, and jazz with cinematic flair, Edmonson offers a sound that is both nostalgic and uniquely her own. Accompanied by acoustic guitar and cello, her airy vocals, poetic lyrics, and refined stage presence invite audiences into a world of storytelling.","Friday, November 21, 2025 @ 8pm","Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$50 – $68,adults,Emelin Theater
2,Brad Upton,https://emelin.org/event/brad-upton/,"Clean, smart comedy from a viral sensation with timeless appeal. Brad has shared the stage with the likes of Joan Rivers, Dolly Parton, and Johnny Mathis, and has performed in all 50 states and around the world. His viral Dry Bar Comedy specials have introduced millions of new fans to his smart, side-splitting storytelling and no-nonsense wit. Known for his clean, relatable humor and razor-sharp timing, Brad effortlessly mines laughs from everyday life, marriage, parenting, aging, and everything in between.",2025-11-22T20:00:00,"Emelin Theatre For The Performing Arts, 153 Library Lane, Mamaroneck, NY 10543 United States",$41 – $53,adults,Emelin Theater
3,Storm Large: Holiday Ordeal,https://emelintheatre.my.salesforce-sites.com/ticket/#/instances/a0Fam000006rvazEAA/sectionGroups/a0bam000004gFzdAAE,"Storm Large dashes in with her signature “Holiday Ordeal,” an evening of wickedly funny, deeply personal, and wildly entertaining holiday anthems and originals. Best known for her powerhouse vocals, off-the-cuff humor, and genre-bending performances, Storm brings a cathartic mix of humor and heart to the season. Expect a cocktail of holiday classics, rock-n-roll ballads, and tongue-in-cheek torch songs delivered with powerhouse vocals and a wink. A long-time member of Pink Martini and a fan favorite from America’s Got Talent, Storm is beloved for her magnetic stage presence and fearless honesty. Whether she’s crooning I’ll Be Home for Christmas or belting out an edgy original, her holiday show is anything but ordinary. Join us for a night of irreverent cheer, emotional release, and musical brilliance. Just the way the holidays should be.",2025-12-05T20:00:00-05:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$47 – $59,18+,Emelin Theater
4,The Martin Sexton Abbey Road Show,https://emelin.org/event/the-martin-sexton-abbey-road-show/,"Reimagines The Beatles’ Abbey Road with soul and passion. Acclaimed singer-songwriter Martin Sexton returns and puts his own soulful, blues-infused spin on The Beatles’ legendary *Abbey Road* album in this one-of-a-kind tribute concert. Known for his remarkable vocal range and powerful live performances, Sexton reimagines these timeless songs with heartfelt storytelling and masterful musicianship. Expect an evening celebrating one of the greatest albums ever recorded, brought to life through the voice and artistry of a true American troubadour.",2025-12-06T20:00:00,"Emelin Theatre For The Performing Arts, 153 Library Lane, Mamaroneck, NY 10543, United States",$57 – $66,adults,Emelin Theater
5,Isle of Klezbos,https://emelin.org/event/isle-of-klezbos/,"The soulful, fun-loving powerhouse all women's sextet fuses klezmer tradition with jazz, swing, and global influences. Seen and heard on HBO, NPR, CBS Sunday Morning, PBS, and The L Word, Isle of Klezbos has been praised by The New York Times for its “intoxicating mix of tradition and irreverence.”","Sunday, December 7, 2025 @ 2pm","Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$35 – $47,adults,Emelin Theater
6,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-13/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. Inspired by the work of Rudolf Nureyev and Marius Petipa, this 90-minute adaptation by French-American choreographer Carole Alexis is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.","2025-12-13, 2025-12-14, 2025-12-20, 2025-12-21, 2025-12-22","Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$30 – $58,"kids, adults, family",Emelin Theater
7,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-12/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. This 90-minute adaptation is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.",2025-12-14,Emelin Theatre For The Performing Arts,$30 – $58,"kids, adults",Emelin Theater
8,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-11/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. The 90-minute adaptation is an exquisite interpretation of the beloved holiday classic, with professional dancers of Ballet des Amériques performing the featured roles, and additional roles performed by young dancers from our area.",2025-12-22T17:00:00,"Emelin Theatre For The Performing Arts, 153 Library Lane, Mamaroneck, NY 10543",$30 – $58,"kids, adults",Emelin Theater
9,Nutcracker Dream,https://emelin.org/event/nutcracker-dream/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. This 90-minute adaptation is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions. Carole Alexis' choreographic work is rooted in classical ballet training and tradition while drawing upon influences as disparate as children’s games, island rituals, natural phenomena, and modern urban life.","December 13, 14, 20, 21, & 22 @ 1:30pm & 5pm","Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$30 – $58,"kids, adults",Emelin Theater
